תאריך,הגרלה,תלתן,יהלום,לב,עלה
26/01/2016,33000,7,J,A,A,
26/01/2016,33001,A,9,Q,Q,
26/01/2016,33002,A,K,10,J,
26/01/2016,33003,Q,A,A,A,
26/01/2016,33004,8,J,9,8,
27/01/2016,33005,9,Q,Q,9,
27/01/2016,33006,7,9,K,J,
27/01/2016,33007,8,10,K,7,
27/01/2016,33008,8,10,7,A,
27/01/2016,33009,10,Q,J,J,
27/01/2016,33010,J,J,8,7,
27/01/2016,33011,10,8,10,A,
28/01/2016,33012,10,K,Q,A,
28/01/2016,33013,A,J,9,8,
28/01/2016,33014,7,K,10,10,
28/01/2016,33015,K,10,J,Q,
28/01/2016,33016,Q,A,10,A,
28/01/2016,33017,Q,8,9,7,
28/01/2016,33018,8,10,9,9,
29/01/2016,33019,K,10,8,7,
29/01/2016,33020,8,10,Q,K,
29/01/2016,33021,7,K,J,Q,
30/01/2016,33022,A,Q,A,8,
30/01/2016,33023,K,A,K,7,
31/01/2016,33024,8,A,K,10,
31/01/2016,33025,9,10,7,A,
31/01/2016,33026,9,A,K,7,
31/01/2016,33027,9,10,J,K,
31/01/2016,33028,Q,7,7,10,
31/01/2016,33029,7,Q,7,J,
31/01/2016,33030,Q,7,A,A,
01/02/2016,33031,10,7,8,Q,
01/02/2016,33032,8,A,J,10,
01/02/2016,33033,7,Q,A,8,
01/02/2016,33034,7,A,10,8,
01/02/2016,33035,7,10,10,9,
01/02/2016,33036,7,J,K,10,
01/02/2016,33037,10,10,K,A,
02/02/2016,33038,J,K,A,J,
02/02/2016,33039,K,9,K,10,
02/02/2016,33040,K,10,J,10,
02/02/2016,33041,J,7,K,K,
02/02/2016,33042,8,7,J,10,
02/02/2016,33043,K,K,10,10,
02/02/2016,33044,J,K,10,A,
03/02/2016,33045,A,K,J,J,
03/02/2016,33046,7,A,K,8,
03/02/2016,33047,A,8,10,K,
03/02/2016,33048,10,9,J,10,
03/02/2016,33049,K,Q,8,J,
03/02/2016,33050,7,8,10,K,
03/02/2016,33051,7,9,7,K,
04/02/2016,33052,A,10,Q,J,
04/02/2016,33053,Q,A,10,10,
04/02/2016,33054,9,J,J,J,
04/02/2016,33055,A,8,8,8,
04/02/2016,33056,J,K,8,8,
04/02/2016,33057,8,Q,7,7,
04/02/2016,33058,J,Q,8,7,
05/02/2016,33059,K,7,7,Q,
05/02/2016,33060,J,9,9,J,
05/02/2016,33061,Q,A,K,7,
06/02/2016,33062,9,9,J,A,
06/02/2016,33063,7,10,7,Q,
07/02/2016,33064,7,K,J,8,
07/02/2016,33065,10,A,9,K,
07/02/2016,33066,K,8,10,J,
07/02/2016,33067,J,K,Q,A,
07/02/2016,33068,A,9,7,10,
07/02/2016,33069,8,Q,A,7,
07/02/2016,33070,7,K,9,10,
08/02/2016,33071,J,9,9,9,
08/02/2016,33072,7,K,Q,K,
08/02/2016,33073,Q,Q,K,8,
08/02/2016,33074,10,K,J,J,
08/02/2016,33075,10,9,9,Q,
08/02/2016,33076,K,Q,J,10,
08/02/2016,33077,7,9,7,10,
09/02/2016,33078,10,Q,K,10,
09/02/2016,33079,9,7,9,A,
09/02/2016,33080,A,J,9,K,
09/02/2016,33081,8,A,7,J,
09/02/2016,33082,A,K,K,Q,
09/02/2016,33083,10,7,8,J,
09/02/2016,33084,8,8,9,9,
10/02/2016,33085,K,J,8,8,
10/02/2016,33086,Q,Q,A,K,
10/02/2016,33087,10,J,8,7,
10/02/2016,33088,A,K,K,K,
