תאריך,הגרלה,תלתן,יהלום,לב,עלה
29/05/2025,51081,7,8,9,10,
29/05/2025,51082,9,A,9,10,
30/05/2025,51083,J,9,A,9,
30/05/2025,51084,A,J,7,9,
30/05/2025,51085,10,8,10,A,
31/05/2025,51086,10,7,8,K,
31/05/2025,51087,8,10,Q,A,
01/06/2025,51088,A,Q,K,8,
01/06/2025,51089,8,K,J,J,
01/06/2025,51090,J,A,A,J,
02/06/2025,51091,9,10,9,J,
03/06/2025,51092,K,8,10,9,
03/06/2025,51093,7,8,J,8,
03/06/2025,51094,J,10,10,10,
03/06/2025,51095,K,J,10,8,
03/06/2025,51096,A,K,Q,10,
03/06/2025,51097,K,Q,10,7,
03/06/2025,51098,9,8,J,Q,
04/06/2025,51099,9,J,Q,Q,
04/06/2025,51100,10,9,8,K,
04/06/2025,51101,K,8,K,10,
04/06/2025,51102,J,K,10,K,
04/06/2025,51103,A,10,10,A,
04/06/2025,51104,7,9,8,Q,
04/06/2025,51105,8,9,7,K,
05/06/2025,51106,7,A,A,8,
05/06/2025,51107,10,K,7,7,
05/06/2025,51108,9,J,8,10,
05/06/2025,51109,K,8,K,Q,
05/06/2025,51110,8,9,7,9,
05/06/2025,51111,Q,8,A,7,
05/06/2025,51112,7,Q,7,K,
06/06/2025,51113,A,10,8,8,
06/06/2025,51114,J,Q,7,K,
06/06/2025,51115,9,A,Q,8,
07/06/2025,51116,9,A,J,8,
07/06/2025,51117,A,9,J,Q,
08/06/2025,51118,A,9,Q,Q,
08/06/2025,51119,K,J,8,J,
08/06/2025,51120,A,Q,10,A,
08/06/2025,51121,J,Q,9,K,
08/06/2025,51122,K,J,Q,Q,
08/06/2025,51123,7,Q,K,A,
08/06/2025,51124,J,A,K,8,
09/06/2025,51125,10,K,A,7,
09/06/2025,51126,8,9,9,10,
09/06/2025,51127,A,Q,9,Q,
09/06/2025,51128,K,8,A,7,
09/06/2025,51129,7,K,7,K,
09/06/2025,51130,10,Q,K,8,
09/06/2025,51131,10,10,7,9,
10/06/2025,51132,7,A,J,A,
10/06/2025,51133,Q,10,A,8,
10/06/2025,51134,7,Q,A,A,
10/06/2025,51135,7,A,10,A,
10/06/2025,51136,7,8,K,K,
10/06/2025,51137,A,8,10,8,
10/06/2025,51138,Q,9,K,9,
11/06/2025,51139,8,7,7,8,
11/06/2025,51140,10,K,A,8,
11/06/2025,51141,J,7,7,7,
11/06/2025,51142,10,K,8,9,
11/06/2025,51143,A,Q,7,J,
11/06/2025,51144,Q,J,7,J,
11/06/2025,51145,J,10,A,8,
12/06/2025,51146,K,Q,A,8,
12/06/2025,51147,8,Q,8,10,
12/06/2025,51148,J,8,A,7,
12/06/2025,51149,K,9,K,7,
12/06/2025,51150,J,J,K,8,
12/06/2025,51151,10,7,A,K,
12/06/2025,51152,7,A,9,Q,
19/06/2025,51153,K,8,J,J,
19/06/2025,51154,J,A,A,7,
19/06/2025,51155,9,Q,9,7,
19/06/2025,51156,K,7,8,K,
19/06/2025,51157,K,K,10,7,
19/06/2025,51158,A,7,J,9,
19/06/2025,51159,8,8,J,A,
20/06/2025,51160,A,7,A,J,
20/06/2025,51161,7,8,8,10,
20/06/2025,51162,Q,7,10,10,
21/06/2025,51163,K,A,8,7,
21/06/2025,51164,K,7,K,9,
25/06/2025,51165,9,8,7,A,
25/06/2025,51166,K,A,K,9,
25/06/2025,51167,K,9,8,10,
25/06/2025,51168,K,7,A,8,
25/06/2025,51169,8,9,Q,K,
25/06/2025,51170,7,9,K,9,
25/06/2025,51171,7,7,K,Q,
26/06/2025,51172,8,K,8,J,
26/06/2025,51173,10,10,J,K,
26/06/2025,51174,7,9,8,10,
26/06/2025,51175,J,8,7,K,
26/06/2025,51176,K,9,10,8,
26/06/2025,51177,9,8,J,9,
26/06/2025,51178,Q,A,K,9,
27/06/2025,51179,7,7,A,A,
27/06/2025,51180,7,9,K,J,
27/06/2025,51181,10,J,10,9,
28/06/2025,51182,10,10,7,10,
28/06/2025,51183,7,K,Q,8,
29/06/2025,51184,J,7,K,10,
29/06/2025,51185,A,7,Q,8,
29/06/2025,51186,Q,K,7,9,
29/06/2025,51187,J,J,Q,9,
29/06/2025,51188,9,K,A,K,
29/06/2025,51189,Q,10,10,J,
29/06/2025,51190,Q,K,8,9,
30/06/2025,51191,9,8,9,7,
30/06/2025,51192,A,8,7,A,
30/06/2025,51193,8,10,7,K,
30/06/2025,51194,Q,8,9,10,
30/06/2025,51195,8,9,9,7,
30/06/2025,51196,7,7,10,9,
30/06/2025,51197,Q,Q,7,8,
01/07/2025,51198,7,Q,8,8,
01/07/2025,51199,10,K,8,Q,
01/07/2025,51200,9,A,Q,9,
01/07/2025,51201,K,7,Q,9,
01/07/2025,51202,A,A,8,8,
01/07/2025,51203,9,A,A,Q,
01/07/2025,51204,7,7,9,8,
02/07/2025,51205,9,A,10,9,
02/07/2025,51206,9,8,8,8,
02/07/2025,51207,J,J,J,10,
02/07/2025,51208,K,A,J,7,
02/07/2025,51209,K,7,A,A,
02/07/2025,51210,7,K,7,J,
02/07/2025,51211,10,10,10,10,
03/07/2025,51212,8,Q,7,8,
03/07/2025,51213,J,10,A,9,
03/07/2025,51214,A,Q,Q,10,
03/07/2025,51215,K,8,J,A,
03/07/2025,51216,10,9,Q,7,
03/07/2025,51217,Q,J,10,9,
03/07/2025,51218,9,8,7,10,
04/07/2025,51219,K,10,9,K,
04/07/2025,51220,9,K,K,9,
04/07/2025,51221,9,9,7,9,
05/07/2025,51222,10,7,10,A,
05/07/2025,51223,10,8,K,9,
06/07/2025,51224,K,K,J,J,
06/07/2025,51225,K,A,J,7,
06/07/2025,51226,9,7,8,10,
06/07/2025,51227,K,J,A,9,
06/07/2025,51228,J,J,10,8,
06/07/2025,51229,9,K,J,8,
06/07/2025,51230,8,8,9,J,
07/07/2025,51231,K,8,7,7,
07/07/2025,51232,A,J,J,K,
07/07/2025,51233,Q,J,Q,K,
07/07/2025,51234,K,Q,A,9,
07/07/2025,51235,10,K,K,10,
07/07/2025,51236,7,J,8,J,
07/07/2025,51237,J,K,7,8,
08/07/2025,51238,Q,10,J,7,
08/07/2025,51239,J,7,10,9,
08/07/2025,51240,A,J,Q,9,
08/07/2025,51241,8,K,K,10,
08/07/2025,51242,A,A,K,9,
08/07/2025,51243,9,8,Q,J,
08/07/2025,51244,K,Q,K,8,
09/07/2025,51245,Q,8,A,K,
09/07/2025,51246,9,A,7,9,
09/07/2025,51247,Q,J,K,A,
09/07/2025,51248,K,9,Q,9,
09/07/2025,51249,K,10,J,J,
09/07/2025,51250,A,Q,7,K,
09/07/2025,51251,Q,A,A,10,
10/07/2025,51252,7,10,8,10,
10/07/2025,51253,A,7,10,Q,
10/07/2025,51254,9,K,K,K,
10/07/2025,51255,A,K,K,J,
10/07/2025,51256,J,Q,A,A,
10/07/2025,51257,8,Q,A,8,
10/07/2025,51258,7,A,A,10,
11/07/2025,51259,7,Q,10,J,
11/07/2025,51260,7,8,9,J,
11/07/2025,51261,8,9,8,8,
12/07/2025,51262,10,7,J,7,
12/07/2025,51263,Q,J,8,J,
13/07/2025,51264,10,J,9,A,
13/07/2025,51265,9,7,8,J,
13/07/2025,51266,K,A,8,Q,
13/07/2025,51267,10,J,A,9,
13/07/2025,51268,9,8,10,J,
13/07/2025,51269,8,A,Q,J,
13/07/2025,51270,A,7,J,K,
14/07/2025,51271,9,9,7,A,
14/07/2025,51272,K,7,J,7,
14/07/2025,51273,Q,A,9,9,
14/07/2025,51274,K,7,8,J,
14/07/2025,51275,Q,J,9,7,
14/07/2025,51276,A,A,Q,K,
14/07/2025,51277,J,Q,10,A,
15/07/2025,51278,J,9,J,7,
15/07/2025,51279,9,9,Q,10,
15/07/2025,51280,8,9,10,A,
15/07/2025,51281,K,10,A,Q,
15/07/2025,51282,K,8,9,10,
15/07/2025,51283,9,J,Q,K,
15/07/2025,51284,K,A,A,10,
16/07/2025,51285,10,Q,10,K,
16/07/2025,51286,10,J,J,8,
16/07/2025,51287,Q,9,8,K,
16/07/2025,51288,8,8,8,9,
16/07/2025,51289,8,9,Q,A,
16/07/2025,51290,10,10,10,8,
16/07/2025,51291,J,8,K,J,
17/07/2025,51292,K,8,7,9,
17/07/2025,51293,K,K,8,10,
17/07/2025,51294,8,Q,Q,10,
17/07/2025,51295,9,J,8,7,
17/07/2025,51296,8,8,8,9,
17/07/2025,51297,7,8,A,9,
17/07/2025,51298,7,A,J,8,
18/07/2025,51299,9,9,A,Q,
18/07/2025,51300,J,9,8,7,
18/07/2025,51301,9,K,8,Q,
19/07/2025,51302,A,K,Q,7,
19/07/2025,51303,K,J,K,7,
20/07/2025,51304,7,9,K,9,
20/07/2025,51305,7,10,K,10,
20/07/2025,51306,A,9,J,10,
20/07/2025,51307,7,10,A,J,
